[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001041s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001060s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001170s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001358s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001468s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010886s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010995s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.000881s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.000924s ]
[ 2012-12-10T09:12:54+08:00 ] /nextUpFile/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000731s ]
